Date,year,variable,waterbody,site,concentration
6/1/2017,2017,phyco_rfu,warwick,1,NA
6/1/2017,2017,phyco_rfu,warwick,1,NA
6/1/2017,2017,phyco_rfu,warwick,2,NA
6/1/2017,2017,phyco_rfu,warwick,2,NA
6/1/2017,2017,phyco_rfu,warwick,3,NA
6/1/2017,2017,phyco_rfu,warwick,3,NA
6/1/2017,2017,phyco_rfu,warwick,4,NA
6/1/2017,2017,phyco_rfu,warwick,4,NA
6/1/2017,2017,phyco_rfu,warwick,5,NA
6/1/2017,2017,phyco_rfu,warwick,5,NA
6/1/2017,2017,phyco_rfu,warwick,6,NA
6/1/2017,2017,phyco_rfu,warwick,6,NA
6/1/2017,2017,phyco_rfu,warwick,p,NA
6/1/2017,2017,phyco_rfu,warwick,p,NA
6/1/2017,2017,phyco_rfu,warwick,p,NA
6/1/2017,2017,phyco_rfu,yawgoo,1,NA
6/1/2017,2017,phyco_rfu,yawgoo,1,NA
6/1/2017,2017,phyco_rfu,yawgoo,2,NA
6/1/2017,2017,phyco_rfu,yawgoo,2,NA
6/1/2017,2017,phyco_rfu,yawgoo,3,NA
6/1/2017,2017,phyco_rfu,yawgoo,3,NA
6/1/2017,2017,phyco_rfu,yawgoo,4,NA
6/1/2017,2017,phyco_rfu,yawgoo,4,NA
6/1/2017,2017,phyco_rfu,yawgoo,5,NA
6/1/2017,2017,phyco_rfu,yawgoo,5,NA
6/1/2017,2017,phyco_rfu,yawgoo,6,NA
6/1/2017,2017,phyco_rfu,yawgoo,6,NA
6/1/2017,2017,phyco_rfu,yawgoo,p,NA
6/1/2017,2017,phyco_rfu,yawgoo,p,NA
6/1/2017,2017,phyco_rfu,yawgoo,p,NA
6/7/2017,2017,phyco_rfu,warwick,1,NA
6/7/2017,2017,phyco_rfu,warwick,1,NA
6/7/2017,2017,phyco_rfu,warwick,2,NA
6/7/2017,2017,phyco_rfu,warwick,2,NA
6/7/2017,2017,phyco_rfu,warwick,3,NA
6/7/2017,2017,phyco_rfu,warwick,3,NA
6/7/2017,2017,phyco_rfu,warwick,4,NA
6/7/2017,2017,phyco_rfu,warwick,4,NA
6/7/2017,2017,phyco_rfu,warwick,5,NA
6/7/2017,2017,phyco_rfu,warwick,5,NA
6/7/2017,2017,phyco_rfu,warwick,6,NA
6/7/2017,2017,phyco_rfu,warwick,6,NA
6/7/2017,2017,phyco_rfu,warwick,p,NA
6/7/2017,2017,phyco_rfu,warwick,p,NA
6/7/2017,2017,phyco_rfu,warwick,p,NA
6/7/2017,2017,phyco_rfu,yawgoo,1,NA
6/7/2017,2017,phyco_rfu,yawgoo,1,NA
6/7/2017,2017,phyco_rfu,yawgoo,2,NA
6/7/2017,2017,phyco_rfu,yawgoo,2,NA
6/7/2017,2017,phyco_rfu,yawgoo,3,NA
6/7/2017,2017,phyco_rfu,yawgoo,3,NA
6/7/2017,2017,phyco_rfu,yawgoo,4,NA
6/7/2017,2017,phyco_rfu,yawgoo,4,NA
6/7/2017,2017,phyco_rfu,yawgoo,5,NA
6/7/2017,2017,phyco_rfu,yawgoo,5,NA
6/7/2017,2017,phyco_rfu,yawgoo,6,NA
6/7/2017,2017,phyco_rfu,yawgoo,6,NA
6/7/2017,2017,phyco_rfu,yawgoo,p,NA
6/7/2017,2017,phyco_rfu,yawgoo,p,NA
6/7/2017,2017,phyco_rfu,yawgoo,p,NA
6/12/2017,2017,phyco_rfu,warwick,1,NA
6/12/2017,2017,phyco_rfu,warwick,1,NA
6/12/2017,2017,phyco_rfu,warwick,2,NA
6/12/2017,2017,phyco_rfu,warwick,2,NA
6/12/2017,2017,phyco_rfu,warwick,3,NA
6/12/2017,2017,phyco_rfu,warwick,3,NA
6/12/2017,2017,phyco_rfu,warwick,4,NA
6/12/2017,2017,phyco_rfu,warwick,4,NA
6/12/2017,2017,phyco_rfu,warwick,5,NA
6/12/2017,2017,phyco_rfu,warwick,5,NA
6/12/2017,2017,phyco_rfu,warwick,6,NA
6/12/2017,2017,phyco_rfu,warwick,6,NA
6/12/2017,2017,phyco_rfu,warwick,p,NA
6/12/2017,2017,phyco_rfu,warwick,p,NA
6/12/2017,2017,phyco_rfu,warwick,p,NA
6/12/2017,2017,phyco_rfu,yawgoo,1,NA
6/12/2017,2017,phyco_rfu,yawgoo,1,NA
6/12/2017,2017,phyco_rfu,yawgoo,2,NA
6/12/2017,2017,phyco_rfu,yawgoo,2,NA
6/12/2017,2017,phyco_rfu,yawgoo,3,NA
6/12/2017,2017,phyco_rfu,yawgoo,3,NA
6/12/2017,2017,phyco_rfu,yawgoo,4,NA
6/12/2017,2017,phyco_rfu,yawgoo,4,NA
6/12/2017,2017,phyco_rfu,yawgoo,5,NA
6/12/2017,2017,phyco_rfu,yawgoo,5,NA
6/12/2017,2017,phyco_rfu,yawgoo,6,NA
6/12/2017,2017,phyco_rfu,yawgoo,6,NA
6/12/2017,2017,phyco_rfu,yawgoo,p,NA
6/12/2017,2017,phyco_rfu,yawgoo,p,NA
6/12/2017,2017,phyco_rfu,yawgoo,p,NA
6/15/2017,2017,phyco_rfu,warwick,1,-0.2018751
6/15/2017,2017,phyco_rfu,warwick,1,-0.4753833
6/15/2017,2017,phyco_rfu,warwick,2,-0.2440487
6/15/2017,2017,phyco_rfu,warwick,2,1.6767107
6/15/2017,2017,phyco_rfu,warwick,3,-0.4375511
6/15/2017,2017,phyco_rfu,warwick,3,-0.0889987
6/15/2017,2017,phyco_rfu,warwick,4,-0.3718099
6/15/2017,2017,phyco_rfu,warwick,4,0.6477989
6/15/2017,2017,phyco_rfu,warwick,5,-0.9647211
6/15/2017,2017,phyco_rfu,warwick,5,-0.3724301
6/15/2017,2017,phyco_rfu,warwick,6,-1.0769773
6/15/2017,2017,phyco_rfu,warwick,6,-1.1408579
6/15/2017,2017,phyco_rfu,warwick,p,-1.1222519
6/15/2017,2017,phyco_rfu,warwick,p,-1.4453761
6/15/2017,2017,phyco_rfu,warwick,p,-1.0056543
6/15/2017,2017,phyco_rfu,yawgoo,1,0.311417925
6/15/2017,2017,phyco_rfu,yawgoo,1,0.097448925
6/15/2017,2017,phyco_rfu,yawgoo,2,0.238854525
6/15/2017,2017,phyco_rfu,yawgoo,2,0.303975525
6/15/2017,2017,phyco_rfu,yawgoo,3,0.167686575
6/15/2017,2017,phyco_rfu,yawgoo,3,0.019768875
6/15/2017,2017,phyco_rfu,yawgoo,4,0.312813375
6/15/2017,2017,phyco_rfu,yawgoo,4,0.083029275
6/15/2017,2017,phyco_rfu,yawgoo,5,0.080703525
6/15/2017,2017,phyco_rfu,yawgoo,5,-0.008140125
6/15/2017,2017,phyco_rfu,yawgoo,6,-0.063492975
6/15/2017,2017,phyco_rfu,yawgoo,6,0.272810475
6/15/2017,2017,phyco_rfu,yawgoo,p,-0.201177375
6/15/2017,2017,phyco_rfu,yawgoo,p,-0.316534575
6/15/2017,2017,phyco_rfu,yawgoo,p,0.063492975
6/22/2017,2017,phyco_rfu,warwick,1,0.6245414
6/22/2017,2017,phyco_rfu,warwick,1,0.902391
6/22/2017,2017,phyco_rfu,warwick,2,0.4043704
6/22/2017,2017,phyco_rfu,warwick,2,0.7436198
6/22/2017,2017,phyco_rfu,warwick,3,0.5755456
6/22/2017,2017,phyco_rfu,warwick,3,0.80626
6/22/2017,2017,phyco_rfu,warwick,4,0.4601884
6/22/2017,2017,phyco_rfu,warwick,4,0.3280858
6/22/2017,2017,phyco_rfu,warwick,5,0.517867
6/22/2017,2017,phyco_rfu,warwick,5,0.4074714
6/22/2017,2017,phyco_rfu,warwick,6,0.4967802
6/22/2017,2017,phyco_rfu,warwick,6,0.4074714
6/22/2017,2017,phyco_rfu,warwick,p,0.8298276
6/22/2017,2017,phyco_rfu,warwick,p,0.74498424
6/22/2017,2017,phyco_rfu,warwick,p,1.01291064
6/22/2017,2017,phyco_rfu,yawgoo,1,0.503059725
6/22/2017,2017,phyco_rfu,yawgoo,1,0.276066525
6/22/2017,2017,phyco_rfu,yawgoo,2,0.302580075
6/22/2017,2017,phyco_rfu,yawgoo,2,0.437938725
6/22/2017,2017,phyco_rfu,yawgoo,3,0.544458075
6/22/2017,2017,phyco_rfu,yawgoo,3,0.495152175
6/22/2017,2017,phyco_rfu,yawgoo,4,0.333745125
6/22/2017,2017,phyco_rfu,yawgoo,4,0.179315325
6/22/2017,2017,phyco_rfu,yawgoo,5,0.136521525
6/22/2017,2017,phyco_rfu,yawgoo,5,0.068144475
6/22/2017,2017,phyco_rfu,yawgoo,6,0.649581975
6/22/2017,2017,phyco_rfu,yawgoo,6,0.597950325
6/22/2017,2017,phyco_rfu,yawgoo,p,-0.048608175
6/22/2017,2017,phyco_rfu,yawgoo,p,0.368166225
6/22/2017,2017,phyco_rfu,yawgoo,p,0.070005075
6/26/2017,2017,phyco_rfu,warwick,1,0.91867125
6/26/2017,2017,phyco_rfu,warwick,1,0.73726275
6/26/2017,2017,phyco_rfu,warwick,2,0.64516305
